id,address,business_name,categories,category01,city,coordinates,country,image_url,latitude,location_id,longitude,phone,rating,review_count,state,street_name,street_number,url,zip_code
728,1330 U St NW,The Fainting Goat, * American (New) * Bars,American (New),"Washington, DC","38.9167735,-77.0308397",US,https://s3-media3.fl.yelpcdn.com/bphoto/EG9dz_m4kqmALZVHTJ_wXg/o.jpg,38.9167735,8kuBHJm8Ncq7FyfT7GIIug,-77.0308397,(202) 735-0344,4,533,DC,u st nw,1330,https://www.yelp.com/biz/the-fainting-goat-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20009
729,1207 9th St NW,Unconventional Diner, * Diners * Comfort Food,Diners,"Washington, DC","38.906139,-77.0238",US,https://s3-media3.fl.yelpcdn.com/bphoto/7bq_NGGzgTXAThK_1vINbA/o.jpg,38.906139,kVCCVqIikApTuD_SGHBwHg,-77.0238,(202) 847-0122,4.5,131,DC,9th st nw,1207,https://www.yelp.com/biz/unconventional-diner-washington-3?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
730,3311 Connecticut Ave NW,Sababa, * Middle Eastern,Middle Eastern,"Washington, DC","38.93388,-77.05707",US,https://s3-media2.fl.yelpcdn.com/bphoto/XX20pz3Jx94wHX0PliArCg/o.jpg,38.93388,jT7v_FvzIWKkg6_UXw1Ppw,-77.05707,(202) 244-6750,4,21,DC,connecticut ave nw,3311,https://www.yelp.com/biz/sababa-washington-2?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20008
731,2210 14th St NW,Grady's, * American (New),American (New),"Washington, DC","38.91959,-77.0323499",US,https://s3-media2.fl.yelpcdn.com/bphoto/H6nmloR51ZXIcGw2WTKZCg/o.jpg,38.91959,urnTL375jGSNJM2xZFyO_A,-77.0323499,(202) 791-0270,4.5,25,DC,14th st nw,2210,https://www.yelp.com/biz/gradys-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20009
732,1337 11th St NW,The Bird, * American (New) * Breakfast & Brunch,American (New),"Washington, DC","38.9084205627441,-77.0266876220703",US,https://s3-media2.fl.yelpcdn.com/bphoto/YqwXJTfP9hJ3E2mocW4C2g/o.jpg,38.90842056,wO-7cBBOYUdiLflpuRsu9A,-77.02668762,(202) 518-3609,4,401,DC,11th st nw,1337,https://www.yelp.com/biz/the-bird-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
733,705 6th St NW,Daikaya Izakaya, * Izakaya,Izakaya,"Washington, DC","38.8986,-77.0195899",US,https://s3-media3.fl.yelpcdn.com/bphoto/Nw-C41E7Fvmfs17ChFyzWw/o.jpg,38.8986,wTz5b1FR8Af06LKjf9eTDQ,-77.0195899,(202) 589-1600,4,649,DC,6th st nw,705,https://www.yelp.com/biz/daikaya-izakaya-washington-8?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
734,1350 Eye St NW,Pennsylvania 6 DC, * American (Traditional) * Seafood * Cocktail Bars,American (Traditional),"Washington, DC","38.9012124997115,-77.0308658191557",US,https://s3-media3.fl.yelpcdn.com/bphoto/Dqte0hlvtr1a0Lw5MIKatg/o.jpg,38.9012125,tKyyJiJLg8fiQ2Lt5bklCQ,-77.03086582,(202) 796-1600,4,317,DC,eye st nw,1350,https://www.yelp.com/biz/pennsylvania-6-dc-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20005
735,901 I St NW,City Tap House, * Bars * American (New),Bars,"Washington, DC","38.9011329,-77.0236995",US,https://s3-media1.fl.yelpcdn.com/bphoto/mSgHanQcD9kABSB-YRE4pw/o.jpg,38.9011329,y_K6LdyE6unzkE_hMi1mfQ,-77.0236995,(202) 733-5333,4,1221,DC,i st nw,901,https://www.yelp.com/biz/city-tap-house-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
736,1990 M St NW,Honeysuckle, * American (New),American (New),"Washington, DC","38.90548,-77.04452",US,https://s3-media2.fl.yelpcdn.com/bphoto/yc6ighDCdCDwYyU02PD-Ng/o.jpg,38.90548,VlYBHm55Cyk8ReAAmKXMkA,-77.04452,(202) 659-1990,4.5,138,DC,m st nw,1990,https://www.yelp.com/biz/honeysuckle-washington-3?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20036
737,625A H St NE,Farmbird, * Chicken Shop * American (New) * American (Traditional),Chicken Shop,"Washington, DC","38.89984,-76.99734",US,https://s3-media2.fl.yelpcdn.com/bphoto/NX30efZFI--IryN9J6Vvjg/o.jpg,38.89984,gSP06A0M972ahIlU3ivy2w,-76.99734,(202) 506-6778,5,240,DC,h st ne,625,https://www.yelp.com/biz/farmbird-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20002
738,1090 I St NW,Momofuku CCDC, * American (New) * Bars,American (New),"Washington, DC","38.900645289298,-77.0269804269836",US,https://s3-media3.fl.yelpcdn.com/bphoto/Un8jeQoRnIWPoGbGLkcoAA/o.jpg,38.90064529,ZVuno8nH-XdNxfKcIPJCBA,-77.02698043,(202) 602-1832,3.5,1239,DC,i st nw,1090,https://www.yelp.com/biz/momofuku-ccdc-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
740,701 9th St NW,Zaytinya, * Greek * Turkish * Lebanese,Greek,"Washington, DC","38.89904,-77.02349",US,https://s3-media2.fl.yelpcdn.com/bphoto/qf8Mc1iHho1dN-CJFItEwQ/o.jpg,38.89904,GBkFa8TJwkaUJsJXXGkTTg,-77.02349,(202) 638-0800,4,3899,DC,9th st nw,701,https://www.yelp.com/biz/zaytinya-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
741,1636 17th St NW,Brick Lane, * Breakfast & Brunch * American (New),Breakfast & Brunch,"Washington, DC","38.91234,-77.03881",US,https://s3-media2.fl.yelpcdn.com/bphoto/IQBa2xawNRCm3uZdOC6gRw/o.jpg,38.91234,WppJF-TACHbCmmRSol8pxA,-77.03881,(202) 525-5309,4,297,DC,17th st nw,1636,https://www.yelp.com/biz/brick-lane-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20009
742,1430 Rhode Island Ave NW,Radiator, * Tapas/Small Plates * Gastropubs * Cocktail Bars,Tapas/Small Plates,"Washington, DC","38.9080299,-77.03295",US,https://s3-media3.fl.yelpcdn.com/bphoto/8fiosTa4lMJNvYFBxdB-Cg/o.jpg,38.9080299,d8OkzEjusLXsGI53V2z5BQ,-77.03295,(202) 742-3150,4,128,DC,rhode island ave nw,1430,https://www.yelp.com/biz/radiator-washington-2?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20005
743,1005 7th St NW,The Capital Burger, * Burgers * Cocktail Bars * American (Traditional),Burgers,"Washington, DC","38.90325,-77.0216",US,https://s3-media2.fl.yelpcdn.com/bphoto/ExptMKUD9Uu_dPuQgpuAOA/o.jpg,38.90325,bCQEdpKSY563iAzq7cMcGA,-77.0216,(202) 638-0414,4,79,DC,7th st nw,1005,https://www.yelp.com/biz/the-capital-burger-washington-5?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
744,237 2nd St NW,The Alibi, * British * Pubs * Seafood,British,"Washington, DC","38.89338,-77.01346",US,https://s3-media2.fl.yelpcdn.com/bphoto/dx1-GLxRiobTMKoDfWKMxw/o.jpg,38.89338,8m22ZO0_-qLjLPRrL2zawA,-77.01346,(202) 347-2237,4.5,230,DC,2nd st nw,237,https://www.yelp.com/biz/the-alibi-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
745,600 H St NE,Fancy Radish, * American (New) * Vegan,American (New),"Washington, DC","38.9002534957578,-76.998243165546",US,https://s3-media2.fl.yelpcdn.com/bphoto/MV-9MpHHk0LhjIs6o5oFUQ/o.jpg,38.9002535,uPxaHQsTtZ-Km8arqPsPCA,-76.99824317,(202) 675-8341,4.5,14,DC,h st ne,600,https://www.yelp.com/biz/fancy-radish-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20002
746,3236 M St NW,Clyde's of Georgetown, * American (Traditional) * Bars,American (Traditional),"Washington, DC","38.9049110412598,-77.0640258789062",US,https://s3-media1.fl.yelpcdn.com/bphoto/nAcmAyy06eMUIJHA4HK0ow/o.jpg,38.90491104,IMUlQlXTqgsWTUZLifuRZQ,-77.06402588,(202) 333-9180,4,889,DC,m st nw,3236,https://www.yelp.com/biz/clydes-of-georgetown-washington-3?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20007
747,1337 14th St NW,Birch & Barley, * American (New) * Breakfast & Brunch,American (New),"Washington, DC","38.90848,-77.03148",US,https://s3-media3.fl.yelpcdn.com/bphoto/U493szr8esw79R2DFcnflQ/o.jpg,38.90848,j825_HsjCyUQmbBt0lQuHQ,-77.03148,(202) 567-2576,4,1014,DC,14th st nw,1337,https://www.yelp.com/biz/birch-and-barley-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20005
748,1025 5th St NW,Busboys and Poets - 5th and K, * American (Traditional) * Breakfast & Brunch * Mediterranean,American (Traditional),"Washington, DC","38.9028,-77.018671",US,https://s3-media2.fl.yelpcdn.com/bphoto/4V-vsX2upfOxpDdyAV-lGA/o.jpg,38.9028,axnuD2onVoJY7C8y-7ywYw,-77.018671,(202) 789-2227,4,1564,DC,5th st nw,1025,https://www.yelp.com/biz/busboys-and-poets-5th-and-k-washington-2?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
749,717 8th St SE,Rose's Luxury, * American (New) * Italian,American (New),"Washington, DC","38.88063,-76.99534",US,https://s3-media3.fl.yelpcdn.com/bphoto/AwhITdGBJkXIYG_ylabsQg/o.jpg,38.88063,a-5Jd4irVqkaxRs-AQ-HGw,-76.99534,(202) 580-8889,4.5,1642,DC,8th st se,717,https://www.yelp.com/biz/roses-luxury-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20003
750,1739 N St NW,Tabard Inn Restaurant, * American (Traditional) * Breakfast & Brunch * Burgers,American (Traditional),"Washington, DC","38.90746,-77.03999",US,https://s3-media1.fl.yelpcdn.com/bphoto/eDpzKj4Cd3gButUE3BZGFA/o.jpg,38.90746,uKdR9MY-hnkSWak3KuvsZQ,-77.03999,(202) 331-8528,4,1502,DC,n st nw,1739,https://www.yelp.com/biz/tabard-inn-restaurant-washington-2?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20036
751,751 Wharf St SW,Kaliwa, * Filipino * Thai * Korean,Filipino,"Washington, DC","38.8784577,-77.0239817",US,https://s3-media1.fl.yelpcdn.com/bphoto/0HYlo4zwWCPphEhmqFpsXQ/o.jpg,38.8784577,A-89i7_ipR-QOlg4Z1echQ,-77.0239817,(202) 516-4739,3,55,DC,wharf st sw,751,https://www.yelp.com/biz/kaliwa-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20024
752,801 Pennsylvania Ave NW,b DC Penn Quarter, * Burgers * American (New) * Beer Bar,Burgers,"Washington, DC","38.8942947129763,-77.0233643521111",US,https://s3-media2.fl.yelpcdn.com/bphoto/phGyyZpW8zfsGpejmPlwKw/o.jpg,38.89429471,gpRqZNVKt_7tPunHbrSCxg,-77.02336435,(202) 808-8720,4,1049,DC,pennsylvania ave nw,801,https://www.yelp.com/biz/b-penn-quarter-washington-2?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20004
753,613 Pennsylvania Ave SE,Barrel, * American (New) * Cocktail Bars * Breakfast & Brunch,American (New),"Washington, DC","38.8851357980807,-76.9978595803566",US,https://s3-media1.fl.yelpcdn.com/bphoto/BIs2JOcOq89wjzltuSvD4g/o.jpg,38.8851358,RQN0Dj9tKLbzZG8ByY3N2A,-76.99785958,(202) 543-3622,4.5,583,DC,pennsylvania ave se,613,https://www.yelp.com/biz/barrel-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20003
754,600 Massachusetts Ave NW,Farmers & Distillers, * Breakfast & Brunch * American (Traditional) * Distilleries,Breakfast & Brunch,"Washington, DC","38.90123,-77.02075",US,https://s3-media1.fl.yelpcdn.com/bphoto/e4pzNfSwq1Vtky92NivjLQ/o.jpg,38.90123,vWp0l1cdmNNyUFi7F5ndTQ,-77.02075,(202) 464-3001,3.5,935,DC,massachusetts ave nw,600,https://www.yelp.com/biz/farmers-and-distillers-washington-2?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
755,2606 Connecticut Ave NW,District Kitchen, * American (New),American (New),"Washington, DC","38.9238692075014,-77.0517721027136",US,https://s3-media3.fl.yelpcdn.com/bphoto/shGHDuCZM7CEhepXBrejHQ/o.jpg,38.92386921,2VJ8gEpYhRODfIi1YRaGeQ,-77.0517721,(202) 238-9408,3.5,314,DC,connecticut ave nw,2606,https://www.yelp.com/biz/district-kitchen-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20008
756,1602 17th St NW,Floriana, * Italian,Italian,"Washington, DC","38.91133287092,-77.0386550000805",US,https://s3-media1.fl.yelpcdn.com/bphoto/a8JLD1j_ZIqfcR6TW-wLew/o.jpg,38.91133287,xH-lzsOv7ZlapoPfOlWL6w,-77.038655,(202) 667-5937,4,586,DC,17th st nw,1602,https://www.yelp.com/biz/floriana-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20009
757,1818 14th St NW,Ted's Bulletin, * Diners * American (Traditional) * Gluten-Free,Diners,"Washington, DC","38.9147346920003,-77.0320553239426",US,https://s3-media1.fl.yelpcdn.com/bphoto/mvZFN46KNQqz19I8qfQXsQ/o.jpg,38.91473469,IHu0OfnZrLSFh0QZf0fgFA,-77.03205532,(202) 265-8337,4,1217,DC,14th st nw,1818,https://www.yelp.com/biz/teds-bulletin-washington-3?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20009
758,650 K St NW,RPM Italian, * Italian,Italian,"Washington, DC","38.9023026852199,-77.0209709153443",US,https://s3-media2.fl.yelpcdn.com/bphoto/lFIOvaGTgb9_3-yXfmKiQQ/o.jpg,38.90230269,qWIddvxzfpDpvti9LKjgVw,-77.02097092,(202) 204-4480,4,637,DC,k st nw,650,https://www.yelp.com/biz/rpm-italian-washington-4?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
759,750 E St NW,Hen Quarter, * Southern * Breakfast & Brunch,Southern,"Washington, DC","38.89594,-77.02245",US,https://s3-media2.fl.yelpcdn.com/bphoto/ZOUdxF9sl1RttgSjdtnGCw/o.jpg,38.89594,3T3wwAPqBAUF6nCwaY38gg,-77.02245,(202) 248-7036,4,485,DC,e st nw,750,https://www.yelp.com/biz/hen-quarter-washington-2?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20004
760,600 14th St NW,The Hamilton, * Seafood * American (New) * Music Venues,Seafood,"Washington, DC","38.8974544016632,-77.0320804809509",US,https://s3-media4.fl.yelpcdn.com/bphoto/ipDSjPuK17lg5W02aqLkiw/o.jpg,38.8974544,6Qhmt1jo7BMcFcp41fPFVg,-77.03208048,(202) 787-1000,3.5,1880,DC,14th st nw,600,https://www.yelp.com/biz/the-hamilton-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20005
761,3911 Georgia Ave NW,Homestead, * Cocktail Bars * Cideries * American (Traditional),Cocktail Bars,"Washington, DC","38.93915,-77.02443",US,https://s3-media1.fl.yelpcdn.com/bphoto/LzfdPTYnXdaoHijMniSWdQ/o.jpg,38.93915,pyweoOYT-ChxU6oqOfe9-g,-77.02443,(202) 627-2371,4,171,DC,georgia ave nw,3911,https://www.yelp.com/biz/homestead-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20011
762,1738 Connecticut Ave NW,Bistrot Du Coin, * French,French,"Washington, DC","38.913852,-77.046112",US,https://s3-media1.fl.yelpcdn.com/bphoto/reo650O5CS79C8EX_2qS0A/o.jpg,38.913852,9uuDSvj9b7ntCq0ETuizzg,-77.046112,(202) 234-6969,4,1527,DC,connecticut ave nw,1738,https://www.yelp.com/biz/bistrot-du-coin-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20009
763,808 V St NW,Hazel, * American (New),American (New),"Washington, DC","38.91771286726,-77.0231831073761",US,https://s3-media3.fl.yelpcdn.com/bphoto/RJxx5Y6AAhZ6RDfa_YDRKQ/o.jpg,38.91771287,734GUmdnKEElSIC0jkK2wg,-77.02318311,(202) 847-4980,4,222,DC,v st nw,808,https://www.yelp.com/biz/hazel-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
764,1837 M St NW,Boqueria, * Tapas Bars * Spanish,Tapas Bars,"Washington, DC","38.90592,-77.04313",US,https://s3-media1.fl.yelpcdn.com/bphoto/0caIitnwq9H6d4KtQmaLWQ/o.jpg,38.90592,u4J0llPPQDXNuRq2mNX6LQ,-77.04313,(202) 552-0392,4,950,DC,m st nw,1837,https://www.yelp.com/biz/boqueria-washington-3?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20036
765,505 8th St SE,Ted's Bulletin, * Breakfast & Brunch * American (Traditional) * Sandwiches,Breakfast & Brunch,"Washington, DC","38.882453918457,-76.9953384399414",US,https://s3-media4.fl.yelpcdn.com/bphoto/LjNwRv6GvfS87cQ8a1Tazw/o.jpg,38.88245392,mC5THK334Eo0Awv4JE-lnA,-76.99533844,(202) 544-8337,4,1738,DC,8th st se,505,https://www.yelp.com/biz/teds-bulletin-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20003
